R,G,bestF,avgF
5,37,323.0,319.33
5,38,323.0,319.502
5,39,323.0,319.772
5,40,323.0,319.776
5,41,323.0,319.964
5,42,324.0,320.036
5,43,324.0,320.036
5,44,323.0,320.414
5,45,324.0,320.478
5,46,324.0,320.52
5,47,324.0,320.59
5,48,323.0,320.514
5,49,323.0,320.512
5,50,323.0,320.6
5,51,323.0,320.676
5,52,323.0,320.774
5,53,323.0,320.694
5,54,323.0,320.818
5,55,324.0,320.888
5,56,324.0,320.934
5,57,323.0,320.954
5,58,323.0,320.886
5,59,323.0,320.78
5,60,323.0,320.672
5,61,323.0,320.816
5,62,323.0,320.796
5,63,323.0,320.738
5,64,323.0,320.692
5,65,324.0,320.68
5,66,323.0,320.746
5,67,323.0,320.584
5,68,323.0,320.782
5,69,323.0,320.92
5,70,323.0,320.882
5,71,323.0,320.724
5,72,323.0,320.75
5,73,323.0,320.89
5,74,323.0,320.77
5,75,323.0,320.778
5,76,323.0,320.814
5,77,323.0,320.926
5,78,323.0,320.742
5,79,324.0,320.808
5,80,324.0,320.782
5,81,323.0,320.738
5,82,323.0,320.726
5,83,323.0,320.872
5,84,323.0,320.916
5,85,323.0,320.776
5,86,323.0,320.886
5,87,323.0,320.912
5,88,323.0,320.948
5,89,323.0,320.98
5,90,323.0,321.174
5,91,323.0,320.972
5,92,323.0,320.92
5,93,323.0,320.832
5,94,323.0,320.902
5,95,323.0,320.804
5,96,323.0,320.894
5,97,323.0,320.752
5,98,323.0,320.904
5,99,323.0,320.93
5,100,323.0,320.95
5,101,323.0,320.874
5,102,323.0,321.028
5,103,323.0,321.022
5,104,323.0,320.87
5,105,323.0,320.952
5,106,324.0,320.962
5,107,323.0,321.022
5,108,323.0,320.904
5,109,323.0,320.86
5,110,323.0,320.866
5,111,323.0,320.99
5,112,323.0,321.056
5,113,323.0,320.948
5,114,323.0,320.662
5,115,323.0,320.584
5,116,323.0,320.866
5,117,323.0,320.616
5,118,323.0,320.77
5,119,323.0,320.784
5,120,323.0,320.708
5,121,323.0,321.0
5,122,323.0,321.076
5,123,323.0,320.766
5,124,323.0,320.978
5,125,323.0,320.654
5,126,323.0,320.742
5,127,323.0,320.78
5,128,323.0,320.644
5,129,323.0,320.834
5,130,323.0,320.724
5,131,323.0,320.704
5,132,323.0,321.014
5,133,323.0,320.986
5,134,323.0,321.022
5,135,323.0,320.694
5,136,323.0,320.814
5,137,323.0,320.716
5,138,323.0,320.72
5,139,323.0,320.598
5,140,323.0,320.676
5,141,323.0,320.59
5,142,323.0,320.586
5,143,323.0,320.888
5,144,323.0,320.968
5,145,323.0,321.004
5,146,323.0,320.862
5,147,323.0,321.008
5,148,323.0,320.944
5,149,323.0,321.116
5,150,323.0,321.11
5,151,323.0,320.958
5,152,323.0,321.112
5,153,323.0,320.838
5,154,323.0,320.826
5,155,323.0,320.818
5,156,323.0,320.996
5,157,323.0,320.71
5,158,323.0,320.816
5,159,323.0,321.014
5,160,323.0,321.006
5,161,323.0,320.8
5,162,323.0,320.868
5,163,324.0,320.936
5,164,323.0,320.834
5,165,323.0,320.872
5,166,323.0,320.894
5,167,323.0,321.012
5,168,323.0,320.886
5,169,323.0,320.934
5,170,323.0,320.676
5,171,323.0,320.698
5,172,323.0,320.856
5,173,323.0,320.932
5,174,323.0,320.98
5,175,323.0,321.032
